"","zip","year","price","flip_horizon","price_diff","mortgage","inv_to_inv","lat","lon","i2i_rank","perc_top_invested"
"446",2130,2012,372000,2101,15000,270000,0.10482180293501,42.3131900167715,-71.1108994612159,446,0.316998468606432
"447",2113,2000,249000,180.5,24750,174400,0.104761904761905,42.365536152381,-71.0547242571429,447,0.315467075038285
"448",2114,2009,401000,1798.5,34500,240000,0.104712041884817,42.3617142984293,-71.0670316806283,448,0.313935681470138
"449",2118,2006,487550,1326,82500,336000,0.104712041884817,42.3402159921466,-71.0748171753927,449,0.312404287901991
"450",2109,2020,760000,2132.5,182500,423000,0.104477611940299,42.3649013880597,-71.0521722835821,450,0.310872894333844
"451",2127,2015,560000,1791,139000,388900,0.104166666666667,42.335011057598,-71.0438928296569,451,0.309341500765697
"452",2116,2002,435200,602,67000,282000,0.103040540540541,42.3491810152027,-71.0767835675676,452,0.30781010719755
"453",2215,2004,299500,840.5,64350,2e+05,0.102739726027397,42.3462001541096,-71.0960081369863,453,0.306278713629403
"454",2210,2009,599000,1603.5,21500,328500,0.102564102564103,42.3500213846154,-71.0507193846154,454,0.304747320061256
"455",2125,2002,250000,378,94500,206500,0.102310231023102,42.3147253729373,-71.0625638019802,455,0.303215926493109
"456",2115,2005,444000,1055,85250,276000,0.100946372239748,42.3455780157729,-71.0889239810726,456,0.301684532924962
"457",2127,2009,335000,1486,0,270000,0.100931677018634,42.3352472158385,-71.0447132329192,457,0.300153139356815
"458",2136,2021,575000,2703,227500,506267.5,0.100694444444444,42.2556526944444,-71.1231521597222,458,0.298621745788668
"459",2134,2003,294000,830,64000,228400,0.1,42.3517511291667,-71.1332771208333,459,0.297090352220521
"460",2118,2020,1054000,2109.5,239500,657600,0.0991253644314869,42.3404553819242,-71.074397787172,460,0.295558958652374
"461",2114,2007,434150,1218,50000,259700,0.0990566037735849,42.3615983537736,-71.0669171933962,461,0.294027565084227
"462",2131,2013,338675,2325,31125,273312.5,0.0988372093023256,42.2833535494186,-71.1308641395349,462,0.29249617151608
"463",2135,2013,327500,2589,32000,170000,0.0985401459854015,42.345773439781,-71.1529300218978,463,0.290964777947933
"464",2122,2003,285000,560,74750,232000,0.0983050847457627,42.2968748881356,-71.0565418440678,464,0.289433384379786
"465",2135,2009,270500,1792,-2750,171375,0.0982142857142857,42.3456565982143,-71.1520987559524,465,0.287901990811639
"466",2210,2018,1145000,1411,285000,624000,0.0980392156862745,42.3499425882353,-71.0500991960784,466,0.286370597243492
"467",2127,2000,231000,66,40000,189300,0.0979284369114878,42.3328355894539,-71.044855920904,467,0.284839203675345
"468",2129,2014,580000,2352,116000,365750,0.0976253298153034,42.3772498416887,-71.0620122348285,468,0.283307810107198
"469",2134,2002,260000,442,50000,193500,0.0975609756097561,42.3518525317073,-71.1334390634146,469,0.28177641653905
