"","ct20_id","zip","median_price","median_flip_horizon","perc_investor","r_mhi","o_mhi","lat.x","nhas","nhna","nhaa","nhwhi","pop_65o","pop_18_64","pop_u18","male","female","pop","num_sales_transactions","sum_institutional_investor","sum_large_investor","sum_medium_investor","sum_small_investor","sum_non_investor","median_intersf","mortgage.x"
"176194",25025060602,2110,867500,1937,0.46875,104861,0,10,33,2,10,265,12,300,19,188,143,331,48,0,1,0,2,45,1401,402500
"176282",25025070801,2118,590000,2026,0.427586206896552,0,0,96,142,0,174,571,85,868,103,519,537,1056,145,1,5,10,5,124,901,336750
"176392",25025070801,2115,590000,2026,0.427586206896552,0,0,96,142,0,174,571,85,868,103,519,537,1056,145,1,5,10,5,124,901,336750
"176637",25025120103,2130,796000,2312,0.476890756302521,108472,219375,88,88,0,58,1296,329,1037,276,766,876,1642,238,0,1,1,9,227,1830,456600
"176898",25025120103,2445,796000,2312,0.476890756302521,108472,219375,88,88,0,58,1296,329,1037,276,766,876,1642,238,0,1,1,9,227,1830,456600
"177228",25025980700,2132,205000,2863,0.403225806451613,0,0,2,0,0,0,2,0,4,3,4,3,7,31,1,0,0,5,25,629,152000
"177232",25025980700,2136,205000,2863,0.403225806451613,0,0,2,0,0,0,2,0,4,3,4,3,7,31,1,0,0,5,25,629,152000
"177310",25025040200,2129,739900,1885,0.458974358974359,30455,186838,380,91,4,197,837,185,971,438,708,886,1594,195,2,5,5,4,179,1154,5e+05
"177425",25025040200,2128,739900,1885,0.458974358974359,30455,186838,380,91,4,197,837,185,971,438,708,886,1594,195,2,5,5,4,179,1154,5e+05
"177426",25025040200,2169,739900,1885,0.458974358974359,30455,186838,380,91,4,197,837,185,971,438,708,886,1594,195,2,5,5,4,179,1154,5e+05
"177838",25025130406,2132,370000,1888,0.42382271468144,41418,107708,1379,345,13,2030,1613,848,3289,1502,2389,3250,5639,361,14,9,18,14,306,1426,272000
"178096",25025130406,2136,370000,1888,0.42382271468144,41418,107708,1379,345,13,2030,1613,848,3289,1502,2389,3250,5639,361,14,9,18,14,306,1426,272000
"178640",25025130406,2131,370000,1888,0.42382271468144,41418,107708,1379,345,13,2030,1613,848,3289,1502,2389,3250,5639,361,14,9,18,14,306,1426,272000
"178667",25025000807,2215,4312500,3322.5,0.5,0,0,210,520,0,204,1225,6,2263,13,908,1374,2282,3,0,0,0,0,3,7930,0
"178680",25025981900,2132,8200000,779.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,154376,2437500
"178689",25025140106,2131,445000,1863,0.441176470588235,25326,164444,663,72,3,1000,327,311,1318,549,931,1247,2178,34,1,0,2,1,30,1525,351500
"178777",25025060603,2210,2000450,NA,0.5,195804,0,83,134,0,44,1152,64,1353,85,765,737,1502,12,0,0,0,0,12,1255.5,0
"178873",25025980300,2130,547500,2053.5,0.478260869565217,0,0,10,2,2,55,42,17,92,4,88,25,113,46,0,0,0,2,44,1144,417400
